Source,Target,Max. Number of Routes,Avg. Number of Routes,Min. Number of Routes
54,17,2,2.0,2
54,18,4,4.0,4
54,29,2,2.0,2
54,51,2,1.5,1
55,11,5,5.0,5
55,18,5,5.0,5
55,24,1,1.0,1
55,29,1,1.0,1
55,35,3,3.0,3
55,41,3,3.0,3
55,51,6,6.0,6
55,54,4,4.0,4
56,45,1,1.0,1
57,6,1,1.0,1
57,16,1,1.0,1
57,27,2,2.0,2
58,6,4,3.5,3
58,7,1,1.0,1
58,9,2,2.0,2
58,26,4,4.0,4
58,35,17,15.5,14
58,40,1,1.0,1
58,44,3,3.0,3
58,49,1,1.0,1
58,52,2,2.0,2
59,10,2,2.0,2
60,7,1,1.0,1
60,26,1,1.0,1
60,40,2,1.5,1
60,44,11,11.0,11
60,52,1,1.0,1
61,2,2,2.0,2
61,11,6,6.0,6
61,14,2,2.0,2
61,18,2,2.0,2
61,35,1,1.0,1
61,41,4,4.0,4
61,53,2,2.0,2
61,55,2,2.0,2
62,19,1,1.0,1
62,35,1,1.0,1
62,44,3,3.0,3
62,49,2,2.0,2
62,52,1,1.0,1
62,60,2,2.0,2
63,20,2,2.0,2
63,34,5,5.0,5
64,61,1,1.0,1
65,18,2,2.0,2
65,51,1,1.0,1
65,55,2,2.0,2
66,4,2,2.0,2
66,14,1,1.0,1
66,20,1,1.0,1
66,30,1,1.0,1
66,34,2,2.0,2
66,35,1,0.5,0
66,39,1,1.0,1
66,41,6,6.0,6
66,46,2,1.5,1
66,47,2,1.0,0
66,56,5,5.0,5
66,61,2,2.0,2
66,63,2,2.0,2
67,7,1,0.5,0
67,40,1,0.5,0
68,55,2,2.0,2
69,10,11,11.0,11
70,11,2,2.0,2
70,17,2,2.0,2
70,18,1,1.0,1
70,29,1,1.0,1
70,41,6,6.0,6
70,51,3,3.0,3
70,54,3,3.0,3
70,55,4,4.0,4
70,65,3,3.0,3
71,2,67,67.0,67
71,4,1,1.0,1
71,6,2,2.0,2
71,7,2,2.0,2
71,8,3,3.0,3
71,11,13,13.0,13
71,12,2,2.0,2
71,14,1,1.0,1
71,17,2,2.0,2
71,18,37,36.5,36
71,20,1,1.0,1
71,26,4,4.0,4
71,29,3,3.0,3
71,30,1,1.0,1
71,34,4,4.0,4
71,35,19,19.0,19
71,36,4,3.5,3
71,38,1,0.5,0
71,39,1,1.0,1
71,40,2,2.0,2
71,41,10,10.0,10
71,44,1,1.0,1
71,46,4,4.0,4
71,47,1,1.0,1
71,50,3,3.0,3
71,51,12,12.0,12
